Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End	Ensembl ID
Olfr1265	old symbol	MGI:3031099	Or4x11	olfactory receptor family 4 subfamily X member 11	protein coding gene	2	+	89867265	89868194	ENSMUSG00000059910
Olfr140	old symbol	MGI:2177523	Or4c3d	olfactory receptor family 4 subfamily C member 3D	protein coding gene	2	-	89881758	89882666	ENSMUSG00000075068
Olfr1269	old symbol	MGI:3031103	Or4x6	olfactory receptor family 4 subfamily X member 6	protein coding gene	2	-	89949011	89949940	ENSMUSG00000084336
Olfr32	old symbol	MGI:109303	Or4b1d	olfactory receptor family 4 subfamily B member 1D	protein coding gene	2	-	89966617	89972640	ENSMUSG00000075066
Olfr1270	old symbol	MGI:3031104	Or4b1	olfactory receptor family 4 subfamily B member 1	protein coding gene	2	-	89979363	89980380	ENSMUSG00000075065
Olfr1506	old symbol	MGI:3031340	Or4x15	olfactory receptor family 4 subfamily X member 15	protein coding gene	2	-	90050522	90054837	ENSMUSG00000075064
Olfr142	old symbol	MGI:2177525	Or4b13	olfactory receptor family 4 subfamily B member 13	protein coding gene	2	-	90082413	90083330	ENSMUSG00000075063
Olfr1271	old symbol	MGI:3031105	Or4b12	olfactory receptor family 4 subfamily B member 12	protein coding gene	2	-	90095855	90096772	ENSMUSG00000075062
Olfr1272	old symbol	MGI:3031106	Or4b1b	olfactory receptor family 4 subfamily B member 1B	protein coding gene	2	-	90111991	90112917	ENSMUSG00000075061
Olfr1565	old symbol	MGI:3710598	Or4x18	olfactory receptor family 4 subfamily X member 18	protein coding gene	2	+	90152544	90156704	ENSMUSG00000089859
Olfr1274-ps	old symbol	MGI:3031108	Or4x13	olfactory receptor family 4 subfamily X member 13	protein coding gene	2	+	90230984	90232018	ENSMUSG00000082980
1110051M20Rik	old symbol	MGI:1915079	Cstpp1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1	protein coding gene	2	-	91105413	91275049	ENSMUSG00000040591
1700029I15Rik	old symbol	MGI:1916742	Frey1	Frey regulator of sperm-oocyte fusion 1	protein coding gene	2	+	92213263	92213948	ENSMUSG00000044916
Gm10801	current symbol	MGI:3641656	Gm10801	predicted gene 10801	protein coding gene	2	+	98492582	98494428	ENSMUSG00000075015
Gm10800	current symbol	MGI:3641657	Gm10800	predicted gene 10800	protein coding gene	2	-	98496892	98497646	ENSMUSG00000075014
B230118H07Rik	old symbol	MGI:1915420	Iftap	intraflagellar transport associated protein	protein coding gene	2	-	101391124	101459376	ENSMUSG00000027165
Gm10799	current symbol	MGI:3642868	Gm10799	predicted gene 10799	protein coding gene	2	-	103898392	103898895	ENSMUSG00000075006
Gm11060	current symbol	MGI:3779284	Gm11060	predicted gene 11060	protein coding gene	2	+	104922363	104924105	ENSMUSG00000079175
Gm13942	current symbol	MGI:3650362	Gm13942	predicted gene 13942	lncRNA gene	2				
Gm13941	current symbol	MGI:3651375	Gm13941	predicted gene 13941	protein coding gene	2	-	110885009	110935204	
Gm15130	current symbol	MGI:3705238	Gm15130	predicted gene 15130	protein coding gene	2				
4930430A15Rik	old symbol	MGI:1914825	Potefam1	POTE ankyrin domain family member 1	protein coding gene	2	-	110880755	111059948	ENSMUSG00000027157
Olfr1275	old symbol	MGI:3031109	Or4f52	olfactory receptor family 4 subfamily F member 52	protein coding gene	2	-	111061198	111063738	ENSMUSG00000074966
Olfr1276	old symbol	MGI:3031110	Or4f53	olfactory receptor family 4 subfamily F member 53	protein coding gene	2	+	111087462	111088400	ENSMUSG00000063844
Olfr1277	old symbol	MGI:3031111	Or4k35	olfactory receptor family 4 subfamily K member 35	protein coding gene	2	-	111099799	111100710	ENSMUSG00000074965
Olfr1278	old symbol	MGI:3031112	Or4f54	olfactory receptor family 4 subfamily F member 54	protein coding gene	2	+	111122615	111123556	ENSMUSG00000068647
Olfr1279	old symbol	MGI:3031113	Or4g16	olfactory receptor family 4 subfamily G member 16	protein coding gene	2	+	111136546	111137487	ENSMUSG00000109813
Olfr1280	old symbol	MGI:3031114	Or4k36	olfactory receptor family 4 subfamily K member 36	protein coding gene	2	+	111144362	111156348	ENSMUSG00000109449
Olfr1281	old symbol	MGI:3031115	Or4k37	olfactory receptor family 4 subfamily K member 37	protein coding gene	2	+	111158766	111159683	ENSMUSG00000095156
Olfr1282	old symbol	MGI:3031116	Or4k38	olfactory receptor family 4 subfamily K member 38	protein coding gene	2	-	111165504	111166421	ENSMUSG00000096554
Olfr1283	old symbol	MGI:3031117	Or4k77	olfactory receptor family 4 subfamily K member 77	protein coding gene	2	+	111198979	111199896	ENSMUSG00000109322
Olfr1284	old symbol	MGI:3031118	Or4g17	olfactory receptor family 4 subfamily G member 17	protein coding gene	2	+	111209347	111210282	ENSMUSG00000108931
Olfr1286	old symbol	MGI:3031120	Or4k40	olfactory receptor family 4 subfamily K member 40	protein coding gene	2	-	111250377	111251294	ENSMUSG00000096703
Olfr1287	old symbol	MGI:3031121	Or4k41	olfactory receptor family 4 subfamily K member 41	protein coding gene	2	+	111279487	111280404	ENSMUSG00000095586
Olfr1288	old symbol	MGI:3031122	Or4g7	olfactory receptor family 4 subfamily G member 7	protein coding gene	2	+	111309131	111310069	ENSMUSG00000044039
Olfr1289	old symbol	MGI:3031123	Or4f4b	olfactory receptor family 4 subfamily F member 4B	protein coding gene	2	+	111313777	111314673	ENSMUSG00000061195
Olfr1290	old symbol	MGI:3031124	Or4k42	olfactory receptor family 4 subfamily K member 42	protein coding gene	2	-	111319563	111324160	ENSMUSG00000095809
Olfr1291-ps1	old symbol	MGI:3031125	Or4f4-ps1	olfactory receptor family 4 subfamily F member 4, pseudogene 1	pseudogene	2	+	111329641	111330579	ENSMUSG00000108891
Olfr1293-ps	old symbol	MGI:3031127	Or4f17-ps1	olfactory receptor family 4 subfamily F member 17, pseudogene 1	polymorphic pseudogene	2	+	111357649	111358587	ENSMUSG00000108908
Olfr1294	old symbol	MGI:3031128	Or4k44	olfactory receptor family 4 subfamily K member 44	protein coding gene	2	-	111367694	111368632	ENSMUSG00000109547
Olfr1295	old symbol	MGI:3031129	Or4k45	olfactory receptor family 4 subfamily K member 45	protein coding gene	2	-	111394849	111395787	ENSMUSG00000108919
Olfr1297	old symbol	MGI:3031131	Or4k47	olfactory receptor family 4 subfamily K member 47	protein coding gene	2	-	111451479	111452417	ENSMUSG00000094858
Olfr1298	old symbol	MGI:3031132	Or4k48	olfactory receptor family 4 subfamily K member 48	protein coding gene	2	-	111475402	111476340	ENSMUSG00000109487
Olfr1299	old symbol	MGI:3031133	Or4k49	olfactory receptor family 4 subfamily K member 49	protein coding gene	2	+	111491798	111495511	ENSMUSG00000109219
Olfr1301	old symbol	MGI:3031135	Or4k51	olfactory receptor family 4 subfamily K member 51	protein coding gene	2	+	111584596	111585534	ENSMUSG00000057149
Olfr1302	old symbol	MGI:3031136	Or4k52	olfactory receptor family 4 subfamily K member 52	protein coding gene	2	+	111610658	111611605	ENSMUSG00000044560
Olfr1303	old symbol	MGI:3031137	Or4f7	olfactory receptor family 4 subfamily F member 7	protein coding gene	2	-	111644131	111645069	ENSMUSG00000093804
Olfr1305	old symbol	MGI:3031139	Or4f56	olfactory receptor family 4 subfamily F member 56	protein coding gene	2	-	111703260	111704198	ENSMUSG00000074955
Olfr1306	old symbol	MGI:3031140	Or4f14	olfactory receptor family 4 subfamily F member 14	protein coding gene	2	-	111742335	111743273	ENSMUSG00000096566
Olfr1307	old symbol	MGI:3031141	Or4f14b	olfactory receptor family 4 subfamily F member 14B	protein coding gene	2	-	111774861	111775799	ENSMUSG00000094747
Olfr1308	old symbol	MGI:3031142	Or4f57	olfactory receptor family 4 subfamily F member 57	protein coding gene	2	-	111790454	111791416	ENSMUSG00000074952
Olfr1309	old symbol	MGI:3031143	Or4f15	olfactory receptor family 4 subfamily F member 15	protein coding gene	2	-	111813479	111814441	ENSMUSG00000109528
Olfr1310	old symbol	MGI:3031144	Or4f6	olfactory receptor family 4 subfamily F member 6	protein coding gene	2	-	111838591	111839529	ENSMUSG00000108827
Olfr1311	old symbol	MGI:3031145	Or4f58	olfactory receptor family 4 subfamily F member 58	protein coding gene	2	-	111851259	111852197	ENSMUSG00000109403
Olfr1312	old symbol	MGI:3031146	Or4f59	olfactory receptor family 4 subfamily F member 59	protein coding gene	2	-	111872422	111873375	ENSMUSG00000074947
Olfr1313	old symbol	MGI:3031147	Or4f60	olfactory receptor family 4 subfamily F member 60	protein coding gene	2	-	111901991	111902928	ENSMUSG00000074946
Olfr1314	old symbol	MGI:3031148	Or4f61	olfactory receptor family 4 subfamily F member 61	protein coding gene	2	-	111922106	111923044	ENSMUSG00000074945
Olfr1315-ps1		No associated gene								
Olfr1316	old symbol	MGI:3031150	Or4f14d	olfactory receptor family 4 subfamily F member 14D	protein coding gene	2	-	111960216	111961160	ENSMUSG00000109801
Olfr1317	old symbol	MGI:3031151	Or4f47	olfactory receptor family 4 subfamily F member 47	protein coding gene	2	+	111972292	111973242	ENSMUSG00000050776
Olfr1318	old symbol	MGI:3031152	Or4f62	olfactory receptor family 4 subfamily F member 62	protein coding gene	2	+	111986243	111987352	ENSMUSG00000049758
BC052040	old symbol	MGI:3026886	Cdin1	CDAN1 interacting nuclease 1	protein coding gene	2	+	115412197	115609249	ENSMUSG00000040282
BC052040	Genbank	MGI:3026886	Cdin1	CDAN1 interacting nuclease 1	protein coding gene	2	+	115412197	115609249	ENSMUSG00000040282
Casc4	old symbol	MGI:2443129	Golm2	golgi membrane protein 2	protein coding gene	2	+	121697451	121766701	ENSMUSG00000060227
Gm14085	old symbol	MGI:3702173	Slc28a2b	solute carrier family 28 member 2b	protein coding gene	2	+	122315422	122358521	ENSMUSG00000079071
Gm17555	current symbol	MGI:4937189	Gm17555	predicted gene, 17555	protein coding gene	2	+	126057020	126058132	ENSMUSG00000090353
Gm14012	current symbol	MGI:3649274	Gm14012	predicted gene 14012	lncRNA gene	2				
4930402H24Rik	old symbol	MGI:1923029	Dnaaf9	dynein axonemal assembly factor 9	protein coding gene	2	-	130548120	130682565	ENSMUSG00000027309
Gm11037	current symbol	MGI:3779261	Gm11037	predicted gene 11037	protein coding gene	2	+	130975417	130976135	ENSMUSG00000079039
Pak7	old symbol	MGI:1920334	Pak5	p21 (RAC1) activated kinase 5	protein coding gene	2	-	135923024	136229887	ENSMUSG00000039913
AL731706.1		No associated gene								
AL731706.2		No associated gene								
Gm17374	current symbol	MGI:4937008	Gm17374	predicted gene, 17374	protein coding gene	2	+	139993963	139995452	ENSMUSG00000078197
Gm21994	old symbol	MGI:5439751	Zfp1002	zinc finger protein 1002	protein coding gene	2	-	150096438	150097511	ENSMUSG00000074735
Gm17581	current symbol	MGI:4937215	Gm17581	predicted gene, 17581	protein coding gene	2	-	155577730	155577786	ENSMUSG00000092123
2900097C17Rik	old symbol	MGI:1914767	Norad	non-coding RNA activated by DNA damage	lncRNA gene	2	-	156229983	156234899	ENSMUSG00000102869
Gm14230	old symbol	MGI:3642639	5730471H19Rik	RIKEN cDNA 5730471H19 gene	lncRNA gene	2	-	156672628	156674843	ENSMUSG00000087179
Svs2	old symbol	MGI:1858275	Semg1	semenogelin 1	protein coding gene	2	-	164077849	164080261	ENSMUSG00000040132
Tmem189	old symbol	MGI:2142624	Peds1	plasmanylethanolamine desaturase 1	protein coding gene	2	-	167485145	167503464	ENSMUSG00000090213
Gm11011	current symbol	MGI:3779229	Gm11011	predicted gene 11011	protein coding gene	2	-	169424765	169429665	ENSMUSG00000078912
Gm20721	current symbol	MGI:5313030	Gm20721	predicted gene, 20721	protein coding gene	2	-	174172112	174188505	ENSMUSG00000090625
Gm14435	old symbol	MGI:3702420	Zfp968-ps	zinc finger protein 968, pseudogene	protein coding gene	2	+	176115430	176124877	ENSMUSG00000089951
Gm9833	old symbol	MGI:3641855	Myef2l	myelin expression factor 2 like	protein coding gene	3	+	10153337	10157622	ENSMUSG00000049230
Gm9733	old symbol	MGI:3780136	Sirpd	signal regulatory protein delta	protein coding gene	3	-	15361611	15397362	ENSMUSG00000078783
Gm11549	old symbol	MGI:3650339	Smim43	small integral membrane protein 43	protein coding gene	3	-	36569776	36582326	ENSMUSG00000085007
4932438A13Rik	old symbol	MGI:2444631	Bltp1	bridge-like lipid transfer protein family member 1	protein coding gene	3	+	36917253	37107182	ENSMUSG00000037270
1700034I23Rik	old symbol	MGI:1920547	Fundc2b	FUN14 domain containing 2B	protein coding gene	3	-	40854631	40856936	ENSMUSG00000074619
Gm21958	current symbol	MGI:5439427	Gm21958	predicted gene, 21958	protein coding gene	3				
Gm42609	old symbol	MGI:3642047	Gm9831	predicted gene 9831	lncRNA gene	3	-	55284878	55310543	ENSMUSG00000105975
Gm21954	current symbol	MGI:5439423	Gm21954	predicted gene, 21954	protein coding gene	3	-	55369406	55379631	ENSMUSG00000094962
Gm5538	old symbol	MGI:3779495	Aadacl2fm2	AADACL2 family member 2	protein coding gene	3	+	59637211	59659754	ENSMUSG00000090527
Gm8298	old symbol	MGI:3643798	Aadacl2fm3	AADACL2 family member 3	protein coding gene	3	+	59768472	59784734	ENSMUSG00000095522
C130079G13Rik	old symbol	MGI:3028051	Aadacl2fm1	AADACL2 family member 1	protein coding gene	3	+	59832635	59845370	ENSMUSG00000036951
B430305J03Rik	current symbol	MGI:3697707	B430305J03Rik	RIKEN cDNA B430305J03 gene	protein coding gene	3	-	61269671	61273372	ENSMUSG00000053706
Gm17402	current symbol	MGI:4937036	Gm17402	predicted gene, 17402	protein coding gene	3	-	67272794	67282496	ENSMUSG00000090408
Fam160a1	old symbol	MGI:2444746	Fhip1a	FHF complex subunit HOOK interacting protein 1A	protein coding gene	3	-	85567370	85653516	ENSMUSG00000051000
ETV3L	current symbol	MGI:3646099	Etv3l	ets variant 3-like	protein coding gene	3	+	87457406	87468416	ENSMUSG00000118505
Fam189b	old symbol	MGI:1915771	Entrep3	endosomal transmembrane epsin interactor 3	protein coding gene	3	+	89090450	89096602	ENSMUSG00000032657
1700094D03Rik	old symbol	MGI:1920795	Cfap141	cilia and flagella associated protein 141	protein coding gene	3	+	89970115	89975654	ENSMUSG00000118506
9130204L05Rik	old symbol	MGI:2684973	S100a7l2	S100 calcium binding protein A7 like 2	protein coding gene	3	-	90995444	90998110	ENSMUSG00000091175
Gm9774	old symbol	MGI:3642386	Adrm1b	adhesion regulating molecule 1B	protein coding gene	3	-	92335374	92336730	ENSMUSG00000042165
Gm4858	old symbol	MGI:3645677	Tdpoz8	TD and POZ domain containing 8	protein coding gene	3	+	92976130	92982812	ENSMUSG00000096879
Gm37596	old symbol	MGI:5610824	Tdpoz6	TD and POZ domain containing 6	protein coding gene	3	-	93599357	93600377	ENSMUSG00000103350
Gm9117	old symbol	MGI:3704095	Tdpoz9-ps1	TD and POZ domain containing 9, pseudogene 1	pseudogene	3	-	93843933	93850823	ENSMUSG00000095822
Gm9125	old symbol	MGI:3702970	Tdpoz9	TD and POZ domain containing 9	protein coding gene	3	-	93955288	93962192	ENSMUSG00000094328
Gm10697	old symbol	MGI:3710527	Tdpoz7	Td and POZ domain containing 7	protein coding gene	3	-	93978929	93979951	ENSMUSG00000095251
Gm10696	old symbol	MGI:3702972	Spopfm2	speckle-type BTB/POZ protein family member 2	protein coding gene	3	-	94081719	94085500	ENSMUSG00000074424
Gm5286	old symbol	MGI:3644284	Spopfm3	speckle-type BTB/POZ protein family member 3	protein coding gene	3	+	94104021	94107109	ENSMUSG00000090268
Gm4778	old symbol	MGI:3643869	Spopfm1	speckle-type BTB/POZ protein family member 1	protein coding gene	3	+	94171343	94174091	ENSMUSG00000089696
4930558C23Rik	old symbol	MGI:1914904	Ctxnd2	cortexin domain containing 2	protein coding gene	3	-	95293769	95310143	ENSMUSG00000105734
Hist2h2ab	old symbol	MGI:2448314	H2ac21	H2A clustered histone 21	protein coding gene	3	+	96127201	96127634	ENSMUSG00000063689
Hist2h2ac	old symbol	MGI:2448316	H2ac20	H2A clustered histone 20	protein coding gene	3	-	96127728	96128209	ENSMUSG00000068855
Hist2h2be	old symbol	MGI:2448415	H2bc21	H2B clustered histone 21	protein coding gene	3	+	96128435	96131054	ENSMUSG00000068854
Hist2h3c2	rat symbol	MGI:2448319	H3c2	H3 clustered histone 2	protein coding gene	13	+	23936328	23936823	ENSMUSG00000069267
Hist2h3c2	rat symbol	MGI:2448320	H3c3	H3 clustered histone 3	protein coding gene	13	-	23929025	23929504	ENSMUSG00000069310
Hist2h3c2	rat symbol	MGI:2448322	H3c4	H3 clustered histone 4	protein coding gene	13	+	23759937	23760440	ENSMUSG00000099583
Hist2h3c2	rat symbol	MGI:2448326	H3c6	H3 clustered histone 6	protein coding gene	13	-	23745708	23746543	ENSMUSG00000069273
Hist2h3c2	rat symbol	MGI:2448329	H3c7	H3 clustered histone 7	protein coding gene	13	+	23728222	23729124	ENSMUSG00000100210
Hist2h3c2	rat symbol	MGI:2448351	H3c13	H3 clustered histone 13	protein coding gene	3	+	96175970	96176457	ENSMUSG00000074403
Hist2h3c2	rat symbol	MGI:2448355	H3c14	H3 clustered histone 14	protein coding gene	3	+	96154001	96154664	ENSMUSG00000093769
Hist2h3c2	old symbol	MGI:2448357	H3c15	H3 clustered histone 15	protein coding gene	3	-	96145424	96146300	ENSMUSG00000081058
Hist2h2aa2	rat symbol	MGI:96097	H2ac18	H2A clustered histone 18	protein coding gene	3	+	96152813	96153398	ENSMUSG00000064220
Hist2h2aa2	old symbol	MGI:2448283	H2ac19	H2A clustered histone 19	protein coding gene	3	-	96147065	96147592	ENSMUSG00000063954
Hist2h2aa1	old symbol	MGI:96097	H2ac18	H2A clustered histone 18	protein coding gene	3	+	96152813	96153398	ENSMUSG00000064220
Hist2h2aa1	rat synonym	MGI:2448283	H2ac19	H2A clustered histone 19	protein coding gene	3	-	96147065	96147592	ENSMUSG00000063954
Hist2h3c1	old symbol	MGI:2448355	H3c14	H3 clustered histone 14	protein coding gene	3	+	96154001	96154664	ENSMUSG00000093769
Hist2h4	rat symbol	MGI:2448419	H4c1	H4 clustered histone 1	protein coding gene	13	-	23944778	23945232	ENSMUSG00000060093
Hist2h4	human synonym	MGI:2448420	H4c2	H4 clustered histone 2	protein coding gene	13	+	23940996	23941392	ENSMUSG00000069266
Hist2h4	rat symbol	MGI:2448421	H4c3	H4 clustered histone 3	protein coding gene	13	-	23882067	23882441	ENSMUSG00000060678
Hist2h4	rat symbol	MGI:2448423	H4c4	H4 clustered histone 4	protein coding gene	13	+	23765551	23765952	ENSMUSG00000061482
Hist2h4	rat symbol	MGI:2448425	H4c6	H4 clustered histone 6	protein coding gene	13	-	23735460	23735842	ENSMUSG00000069274
Hist2h4	rat symbol	MGI:2448427	H4c8	H4 clustered histone 8	protein coding gene	13	+	23715214	23715648	ENSMUSG00000060981
Hist2h4	rat symbol	MGI:2448432	H4c9	H4 clustered histone 9	protein coding gene	13	-	22225130	22225532	ENSMUSG00000060639
Hist2h4	rat symbol	MGI:2448436	H4c11	H4 clustered histone 11	protein coding gene	13	+	21919204	21919626	ENSMUSG00000067455
Hist2h4	rat symbol	MGI:2448439	H4c12	H4 clustered histone 12	protein coding gene	13	-	21934364	21934675	ENSMUSG00000064288
Hist2h4	old symbol	MGI:2140113	H4c14	H4 clustered histone 14	protein coding gene	3	-	96170250	96170633	ENSMUSG00000091405
Hist2h4	rat symbol	MGI:2448443	H4c16	H4 histone 16	protein coding gene	6	-	136780991	136781429	ENSMUSG00000096010
Hist2h4	rat symbol	MGI:2448441	H4c17	H4 clustered histone 17	protein coding gene	13	+	21995916	21996317	ENSMUSG00000069306
Hist2h4	rat symbol	MGI:4843992	H4c18	H4 clustered histone 18	protein coding gene	13	-	22015962	22016367	ENSMUSG00000069305
Hist2h3b	old symbol	MGI:2448351	H3c13	H3 clustered histone 13	protein coding gene	3	+	96175970	96176457	ENSMUSG00000074403
Hist2h2bb	old symbol	MGI:2448413	H2bc18	H2B clustered histone 18	protein coding gene	3	+	96177068	96177448	ENSMUSG00000105827
AC121792.1		No associated gene								
Olfr1402	old symbol	MGI:3031236	Or13l2	olfactory receptor family 13 subfamily L member 2	protein coding gene	3	-	97317533	97318495	ENSMUSG00000051392
Gm17651	current symbol	MGI:4937285	Gm17651	predicted gene, 17651	protein coding gene	3	-	97580347	97582010	ENSMUSG00000090441
Gm4450	old symbol	MGI:3782634	Hsd3b9	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 9	protein coding gene	3	-	98352991	98364442	ENSMUSG00000090817
Gm10681	old symbol	MGI:3711284	Hsd3b8	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 8	protein coding gene	3	-	98459858	98471366	ENSMUSG00000095388
Gm10964	current symbol	MGI:3779175	Gm10964	predicted gene 10964	protein coding gene	3	+	103646682	103653692	ENSMUSG00000078620
Atp5f1	old symbol	MGI:1100495	Atp5pb	ATP synthase peripheral stalk-membrane subunit b	protein coding gene	3	-	105850014	105866579	ENSMUSG00000000563
Olfr266	old symbol	MGI:3030100	Or11i1	olfactory receptor family 11 subfamily I member 1	protein coding gene	3	-	106728923	106729873	ENSMUSG00000043529
5330417C22Rik	old symbol	MGI:1923930	Elapor1	endosome-lysosome associated apoptosis and autophagy regulator 1	protein coding gene	3	-	108363010	108443852	ENSMUSG00000040412
1700013F07Rik	old symbol	MGI:1922754	Cfap276	cilia and flagella associated protein 276	protein coding gene	3	+	108444900	108452013	ENSMUSG00000027886
Fam102b	old symbol	MGI:3036259	Eeig2	EEIG family member 2	protein coding gene	3	-	108878313	108934923	ENSMUSG00000040339
Tmem56	old symbol	MGI:1923195	Tlcd4	TLC domain containing 4	protein coding gene	3	-	120995657	121076756	ENSMUSG00000028132
Gm10959	current symbol	MGI:3779169	Gm10959	predicted gene 10959	protein coding gene	3	-	122706719	122713009	ENSMUSG00000078590
Gm21962	current symbol	MGI:5439431	Gm21962	predicted gene, 21962	protein coding gene	3	+	137377285	137378301	ENSMUSG00000094856
H2afz	old symbol	MGI:1888388	H2az1	H2A.Z variant histone 1	protein coding gene	3	+	137570248	137572683	ENSMUSG00000037894
Wdr63	old symbol	MGI:3045269	Dnai3	dynein axonemal intermediate chain 3	protein coding gene	3	-	145746281	145813855	ENSMUSG00000043020
Gm43619	old symbol	MGI:5590898	Gm31739	predicted gene, 31739	lncRNA gene	3	+	151694091	151697969	ENSMUSG00000104659
Impad1	old symbol	MGI:1915720	Bpnt2	3'(2'), 5'-bisphosphate nucleotidase 2	protein coding gene	4	-	4762484	4793306	ENSMUSG00000066324
2610301B20Rik	old symbol	MGI:1914407	Cfap418	cilia and flagella associated protein 418	protein coding gene	4	+	10874498	10899425	ENSMUSG00000059482
Fam92a	old symbol	MGI:1915349	Cibar1	CBY1 interacting BAR domain containing 1	protein coding gene	4	-	12153409	12172015	ENSMUSG00000028218
Ddx58	old symbol	MGI:2442858	Rigi	RNA sensor RIG-I	protein coding gene	4	-	40203773	40239828	ENSMUSG00000040296
Dnaic1	old symbol	MGI:1916172	Dnai1	dynein axonemal intermediate chain 1	protein coding gene	4	+	41569775	41638158	ENSMUSG00000061322
Gm21541	old symbol	MGI:5434896	Ccl21d	C-C motif chemokine ligand 21D	protein coding gene	4	+	41903610	41904743	ENSMUSG00000094065
Fam214b	old symbol	MGI:2441854	Atosb	atos homolog B	protein coding gene	4	-	43032414	43046220	ENSMUSG00000036002
Olfr70	old symbol	MGI:1860079	Or13e8	olfactory receptor family 13 subfamily E member 8	protein coding gene	4	-	43695000	43700807	ENSMUSG00000050215
Olfr71	old symbol	MGI:1860080	Or13j1	olfactory receptor family 13 subfamily J member 1	protein coding gene	4	-	43705628	43706566	ENSMUSG00000046450
Olfr159	old symbol	MGI:1352686	Or13c7d	olfactory receptor family 13 subfamily C member 7D	protein coding gene	4	-	43770050	43771009	ENSMUSG00000044801
Olfr156	old symbol	MGI:1352683	Or13c7b	olfactory receptor family 13 subfamily C member 7B	protein coding gene	4	-	43820335	43821433	ENSMUSG00000110970
Olfr157	old symbol	MGI:1352684	Or13c7c	olfactory receptor family 13 subfamily C member 7C	protein coding gene	4	-	43834752	43837643	ENSMUSG00000111611
Olfr155	old symbol	MGI:1352681	Or13c7	olfactory receptor family 13 subfamily C member 7	protein coding gene	4	+	43854292	43855463	ENSMUSG00000071000
Tmem246	old symbol	MGI:1914313	Pgap4	post-GPI attachment to proteins GalNAc transferase 4	protein coding gene	4	-	49584506	49597876	ENSMUSG00000039611
Olfr275	old symbol	MGI:3030109	Or13f5	olfactory receptor family 13 subfamily F member 5	protein coding gene	4	+	52825399	52826358	ENSMUSG00000089717
Olfr273	old symbol	MGI:3030107	Or13c3	olfactory receptor family 13 subfamily C member 3	protein coding gene	4	-	52855558	52856511	ENSMUSG00000049648
Olfr272	old symbol	MGI:3030106	Or13c25	olfactory receptor family 13 subfamily C member 25	protein coding gene	4	-	52910833	52911792	ENSMUSG00000051593
Olfr270	old symbol	MGI:3030104	Or13d1	olfactory receptor family 13 subfamily D member 1	protein coding gene	4	+	52970629	52971567	ENSMUSG00000070983
4930412L05Rik	old symbol	MGI:1921191	Lexis1	lipid responsive LXR-induced inhibitor of cholesterol synthesis 1	lncRNA gene	4	-	53205066	53217857	ENSMUSG00000087192
AI427809	old symbol	MGI:2140270	Mexis	macrophage expressed LXRa(NR1H3)-dependent amplifier of Abca1 transcription lncRNA	lncRNA gene	4	-	53261356	53270232	ENSMUSG00000086712
AI427809	Genbank	MGI:2140270	Mexis	macrophage expressed LXRa(NR1H3)-dependent amplifier of Abca1 transcription lncRNA	lncRNA gene	4	-	53261356	53270232	ENSMUSG00000086712
Gm26657	current symbol	MGI:5477151	Gm26657	predicted gene, 26657	protein coding gene	4	+	56740070	56741377	ENSMUSG00000096930
Pakap.1		No associated gene								
Olfr267	old symbol	MGI:3030101	Or2k2	olfactory receptor family 2 subfamily K member 2	protein coding gene	4	-	58784779	58785720	ENSMUSG00000043385
Gm11213	old symbol	MGI:3701774	Tex53	testis expressed 53	protein coding gene	4	-	63515138	63523498	ENSMUSG00000084782
C87499	old symbol	MGI:2140706	Pramel32	PRAME like 32	protein coding gene	4	-	88545557	88552423	ENSMUSG00000038330
C87499	Genbank	MGI:2140706	Pramel32	PRAME like 32	protein coding gene	4	-	88545557	88552423	ENSMUSG00000038330
Gm26566	current symbol	MGI:5477060	Gm26566	predicted gene, 26566	protein coding gene	4	+	88640042	88641079	ENSMUSG00000097078
Gm12609	current symbol	MGI:3652142	Gm12609	predicted gene 12609	lncRNA gene	4				
B020004J07Rik	old symbol	MGI:3588238	Pramel17	PRAME like 17	protein coding gene	4	-	101692166	101701219	ENSMUSG00000035201
Gm12800	old symbol	MGI:3652120	Pramel18	PRAME like 18	protein coding gene	4	+	101766318	101769105	ENSMUSG00000037028
Gm12794	old symbol	MGI:3795847	Pramel19	PRAME like 19	protein coding gene	4	+	101797604	101800380	ENSMUSG00000070890
Tctex1d1	old symbol	MGI:1914594	Dynlt5	dynein light chain Tctex-type 5	protein coding gene	4	+	102835900	102862419	ENSMUSG00000028523
Wdr78	old symbol	MGI:2385328	Dnai4	dynein axonemal intermediate chain 4	protein coding gene	4	-	102895262	102971521	ENSMUSG00000035126
Gm17662	current symbol	MGI:4937296	Gm17662	predicted gene, 17662	protein coding gene	4	+	104714526	104716334	ENSMUSG00000095386
3110021N24Rik	current symbol	MGI:1920383	3110021N24Rik	RIKEN cDNA 3110021N24 gene	protein coding gene	4	+	108576846	108639101	ENSMUSG00000094958
6430628N08Rik	old symbol	MGI:1923487	Tmem275	transmembrane protein 275	protein coding gene	4	+	115747863	115756425	ENSMUSG00000034185
1700042G07Rik	old symbol	MGI:1914573	P3r3urf	Pik3r3 upstream reading frame	protein coding gene	4	+	116030569	116031487	ENSMUSG00000078593
